epoch,accuracy,auc,binary_accuracy,binary_crossentropy,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives,val_accuracy,val_auc,val_binary_accuracy,val_binary_crossentropy,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.0,0.9436266422271729,0.8362883925437927,0.4886227548122406,1320.0,65.0,2.0465190410614014,0.9627507328987122,0.5600000023841858,5395.0,1680.0,0.0,0.9492218494415283,0.8822695016860962,0.4110628664493561,640.0,356.0,0.9317209720611572,0.8628659248352051,0.7777777910232544,5224.0,2240.0
1,0.0,0.9702900052070618,0.9459810853004456,0.29665619134902954,214.0,243.0,0.5254715085029602,0.9197754859924316,0.9286666512489319,5217.0,2786.0,0.0,0.9514359831809998,0.8893616795539856,0.33493703603744507,274.0,662.0,0.40201783180236816,0.797429621219635,0.9048610925674438,4918.0,2606.0
2,0.0,0.9763106107711792,0.950827419757843,0.21470828354358673,168.0,248.0,0.24833756685256958,0.9194805026054382,0.9440000057220459,5212.0,2832.0,0.0,0.9427173733711243,0.8879432678222656,0.3204050362110138,344.0,604.0,0.3404502868652344,0.8076432943344116,0.8805555701255798,4976.0,2536.0
