epoch,accuracy,auc,binary_accuracy,binary_crossentropy,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives,val_accuracy,val_auc,val_binary_accuracy,val_binary_crossentropy,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.0,0.9428949952125549,0.8472813367843628,0.40918028354644775,1049.0,243.0,2.228200674057007,0.8756397366523743,0.6199275255203247,5457.0,1711.0,0.0,0.9352637529373169,0.8874704241752625,0.3710296154022217,492.0,460.0,0.9821788668632507,0.8450134992599487,0.8360000252723694,5000.0,2508.0
1,0.0,0.9633110761642456,0.9443262219429016,0.25983375310897827,87.0,384.0,0.5230324268341064,0.8743866682052612,0.968478262424469,5316.0,2673.0,0.0,0.95485520362854,0.8957446813583374,0.2974580228328705,481.0,401.0,0.38311898708343506,0.8626712560653687,0.8396666646003723,5059.0,2519.0
2,0.0,0.9864802360534668,0.9693853259086609,0.160652294754982,76.0,183.0,0.19300080835819244,0.936170220375061,0.9724637866020203,5517.0,2684.0,0.0,0.9837299585342407,0.9416075944900513,0.1964116394519806,350.0,144.0,0.21818208694458008,0.9484609961509705,0.8833333253860474,5316.0,2650.0
