epoch,accuracy,auc,binary_accuracy,binary_crossentropy,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives,val_accuracy,val_auc,val_binary_accuracy,val_binary_crossentropy,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.0,0.9559674263000488,0.8548463582992554,0.3763766288757324,1014.0,214.0,2.187608242034912,0.9077585935592651,0.675000011920929,5126.0,2106.0,0.0,0.9709597229957581,0.8968085050582886,0.28652146458625793,207.0,666.0,0.9135013818740845,0.8005390763282776,0.9281250238418579,4914.0,2673.0
1,0.0,0.9871991872787476,0.9509456157684326,0.18715998530387878,107.0,308.0,0.45706531405448914,0.9072568416595459,0.965705156326294,5032.0,3013.0,0.0,0.9865595698356628,0.9526004791259766,0.18168191611766815,106.0,295.0,0.27486690878868103,0.9038774967193604,0.9631944298744202,5285.0,2774.0
2,0.0,0.9881629347801208,0.9645389914512634,0.13910938799381256,52.0,248.0,0.17587608098983765,0.9252110719680786,0.9833333492279053,5092.0,3068.0,0.0,0.9893069863319397,0.9602836966514587,0.130771666765213,98.0,238.0,0.1569058746099472,0.9211920499801636,0.9659722447395325,5342.0,2782.0
