epoch,accuracy,auc,binary_accuracy,binary_crossentropy,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives,val_accuracy,val_auc,val_binary_accuracy,val_binary_crossentropy,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.0,0.9243048429489136,0.8313238620758057,0.43128639459609985,1085.0,342.0,2.0745136737823486,0.8399625420570374,0.6232638955116272,5238.0,1795.0,0.0,0.9472994804382324,0.8540189266204834,0.3867531418800354,61.0,1174.0,0.9497599601745605,0.6539934873580933,0.9732456207275391,5006.0,2219.0
1,0.0,0.9706966280937195,0.9080378413200378,0.2876291573047638,169.0,609.0,0.5403363108634949,0.8165662884712219,0.941319465637207,4971.0,2711.0,0.0,0.9745833873748779,0.8947990536689758,0.29986241459846497,84.0,806.0,0.39698711037635803,0.7315123081207275,0.9631578922271729,5374.0,2196.0
2,0.0,0.9793119430541992,0.9554373621940613,0.19346550107002258,124.0,253.0,0.23741939663887024,0.9159188866615295,0.956944465637207,5327.0,2756.0,0.0,0.9341569542884827,0.9178487062454224,0.27979275584220886,213.0,482.0,0.30870652198791504,0.8109062314033508,0.9065789580345154,5698.0,2067.0
