BEGIN_DATE,END_DATE,NUM_NODES,ATTACK_RATIO,ATTACK_START_TIME,ATTACK_DURATION,ATTACK_PARAMETER,NODE,LAT,LNG,TIME,TIME_FEATURE,ACTIVE,PACKET,ATTACKED,PACKET_109,NODE_109,PACKET_110,NODE_110,PACKET_114,NODE_114,PACKET_131,NODE_131,PACKET_133,NODE_133,PACKET_176,NODE_176,PACKET_209,NODE_209,PACKET_248,NODE_248,PACKET_233,NODE_233,PACKET_170,NODE_170
2023-12-04,2023-12-04,10,0.5,2023-12-04 22:30:16.731182,0:10:00,4,109,50.46388319,35.37576942,2023-12-04 22:29:21.119070,0,0,7,0,7,1,1,0,3,0,1,0,0,0,1,0,1,0,1,0,76,0,76,0
2023-12-04,2023-12-04,10,0.5,2023-12-04 22:30:16.731182,0:10:00,4,109,50.46388319,35.37576942,2023-12-04 22:29:26.119070,0,0,26,0,26,1,26,0,29,0,28,0,0,0,26,0,26,0,26,0,106,0,108,0
2023-12-04,2023-12-04,10,0.5,2023-12-04 22:30:16.731182,0:10:00,4,109,50.46388319,35.37576942,2023-12-04 22:29:31.119070,0,0,54,0,54,1,54,0,54,0,76,0,27,0,52,0,54,0,54,0,131,0,128,0
2023-12-04,2023-12-04,10,0.5,2023-12-04 22:30:16.731182,0:10:00,4,109,50.46388319,35.37576942,2023-12-04 22:29:36.119070,0,0,22,0,22,1,22,0,28,0,24,0,104,0,22,0,22,0,22,0,98,0,103,0
2023-12-04,2023-12-04,10,0.5,2023-12-04 22:30:16.731182,0:10:00,4,109,50.46388319,35.37576942,2023-12-04 22:29:41.119070,0,0,41,0,41,1,21,0,23,0,21,0,105,0,21,0,21,0,21,0,98,0,98,0
2023-12-04,2023-12-04,10,0.5,2023-12-04 22:30:16.731182,0:10:00,4,109,50.46388319,35.37576942,2023-12-04 22:29:46.119070,0,0,0,0,0,1,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0
2023-12-04,2023-12-04,10,0.5,2023-12-04 22:30:16.731182,0:10:00,4,109,50.46388319,35.37576942,2023-12-04 22:29:51.119070,1,0,29,0,29,1,19,0,25,0,19,0,96,0,19,0,19,0,19,0,95,0,97,0
2023-12-04,2023-12-04,10,0.5,2023-12-04 22:30:16.731182,0:10:00,4,109,50.46388319,35.37576942,2023-12-04 22:29:56.119070,1,0,20,0,20,1,20,0,22,0,20,0,99,0,20,0,20,0,20,0,99,0,101,0
2023-12-04,2023-12-04,10,0.5,2023-12-04 22:30:16.731182,0:10:00,4,109,50.46388319,35.37576942,2023-12-04 22:30:01.119070,1,0,19,0,19,1,19,0,22,0,19,0,100,0,21,0,19,0,19,0,96,0,98,0
2023-12-04,2023-12-04,10,0.5,2023-12-04 22:30:16.731182,0:10:00,4,109,50.46388319,35.37576942,2023-12-04 22:30:06.119070,1,0,39,0,39,1,23,0,25,0,25,0,100,0,23,0,23,0,23,0,100,0,114,0
2023-12-04,2023-12-04,10,0.5,2023-12-04 22:30:16.731182,0:10:00,4,109,50.46388319,35.37576942,2023-12-04 22:30:11.119070,1,0,19,0,19,1,19,0,22,0,19,0,98,0,19,0,19,0,19,0,95,0,98,0
2023-12-04,2023-12-04,10,0.5,2023-12-04 22:30:16.731182,0:10:00,4,109,50.46388319,35.37576942,2023-12-04 22:30:16.119070,1,0,25,0,25,1,25,0,27,0,25,0,115,0,39,0,41,0,25,0,106,0,104,0
2023-12-04,2023-12-04,10,0.5,2023-12-04 22:30:16.731182,0:10:00,4,109,50.46388319,35.37576942,2023-12-04 22:30:21.119070,2,0,56,0,56,1,25,0,196,0,39,0,180,0,25,0,25,0,195,0,170,0,171,0
2023-12-04,2023-12-04,10,0.5,2023-12-04 22:30:16.731182,0:10:00,4,109,50.46388319,35.37576942,2023-12-04 22:30:26.119070,2,0,65,0,65,1,22,0,190,0,21,0,184,0,21,0,21,0,187,0,197,0,185,0
2023-12-04,2023-12-04,10,0.5,2023-12-04 22:30:16.731182,0:10:00,4,109,50.46388319,35.37576942,2023-12-04 22:30:31.119070,2,0,34,0,34,1,37,0,185,0,22,0,183,0,22,0,22,0,182,0,182,0,183,0
